osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[246292507, 246292508, 4633391]",0,1.0,5,0.0708609891714949,0.5,333.36,340.61,333.36,0.495,0.0,1.0,0.07692307692307693,0.09608345512634851,0.49994999499949994,0.3181488272595309,0.56353591160221,low,0.9999
"[246292509, 28907078]",0,1.0,5,0.02189687420982172,0.6399,183.47,190.54,183.47,0.515,0.0,1.0,0.07692307692307693,0.029690021115316902,0.6398639863986398,0.17500382000152803,0.6077348066298343,low,1.0
4636183,0,0.8923,6,0.015697803678446445,0.7025,178.79,184.62,178.79,0.6525,0.0,0.8653413353338333,0.15384615384615385,0.021284322767113145,0.7024702470247025,0.1705344182137673,0.9116022099447513,low,1.0
4636190,0,1.0,7,0.015697803678446445,0.5,42.22,42.22,47.45,0.6925,0.0,1.0,0.23076923076923078,0.021284322767113145,0.49994999499949994,0.04011001604400642,1.0,low,1.0
361136020,0,0.9029,6,0.015697803678446445,0.5,47.6,47.6,48.7,0.6125,0.0,0.8785946486621656,0.15384615384615385,0.021284322767113145,0.49994999499949994,0.04524791809916725,0.8232044198895029,low,1.0
"[1411097874, 1030350685]",0,0.9065,7,0.02189687420982172,0.6399,149.98,149.98,151.48,0.6525,0.0,0.8830957739434857,0.23076923076923078,0.029690021115316902,0.6398639863986398,0.1430208572083429,0.9116022099447513,low,1.0
1411097875,0,0.8695,9,0.02189687420982172,0.5,72.4,72.4,79.68,0.6525,0.0,0.836834208552138,0.38461538461538464,0.029690021115316902,0.49994999499949994,0.06893192757277104,0.9116022099447513,low,1.0
4649295,0,0.92,9,0.0003570889217317394,0.8346,147.73,147.73,154.12,0.6525,0.0,0.899974993748437,0.38461538461538464,0.00048291067829567985,0.8345834583458346,0.14087210634884254,0.9116022099447513,low,1.0
"[1053887660, 33396895]",0,0.9281,8,0.003477784266613675,0.5226,145.86,145.86,153.9,0.6925,0.0,0.9101025256314078,0.3076923076923077,0.004714452096151059,0.5225522552255225,0.13908625563450228,1.0,low,1.0
1411097875,0,0.8695,9,0.02189687420982172,0.5,72.4,72.4,79.68,0.6525,0.0,0.836834208552138,0.38461538461538464,0.029690021115316902,0.49994999499949994,0.06893192757277104,0.9116022099447513,low,1.0
4827061,0,0.8173,6,0.020212104552802545,0.5,67.14,73.32,67.14,,0.0,0.7715678919729931,0.15384615384615385,0.027405539038296865,0.49994999499949994,0.06390862556345023,0.6906077348066298,low,1.0
